"","Memory_ghz_max","Memory_usage_max","state","vibrate","vibrateState"
"1",121930,0.052949,-2,0.00834765529094028,1
"2",121850,0.053391,-2,0.00781030510760239,1
"3",121790,0.053808,-2,0.00130092179601538,0
"4",121750,0.053878,-2,0.0090203793756265,1
"5",121730,0.054364,-2,0.00664042380987429,1
"6",121680,0.054725,-2,0.00740063956144343,1
"7",121640,0.05513,-2,0.0217667331761291,1
"8",121560,0.05633,-2,0.0840937333570035,1
"9",121320,0.061067,-2,0.028395041511782,1
"10",120790,0.062801,-2,0.00130571169248905,0
"11",120580,0.062883,-2,0.000174928040965083,0
"12",120580,0.062894,-2,0.000461093268038226,0
"13",120590,0.062923,-2,-0.00187530791602442,0
"14",120580,0.062805,-2,-0.000143300692619919,0
"15",120600,0.062796,-2,-0.000429963691954915,0
"16",120610,0.062769,-2,-0.00189584030333456,0
"17",120610,0.06265,-2,-0.000861931364724677,0
"18",120620,0.062596,-2,-0.00220461371333636,0
"19",120630,0.062458,-2,-0.000368247462294691,0
"20",120640,0.062435,-2,-0.00238648194121882,0
"21",120660,0.062286,-2,-0.00211925633368659,0
"22",120680,0.062154,-2,-0.00199504456672139,0
"23",120680,0.06203,-2,0.00344994357568917,1
"24",121090,0.062244,-2,0.00742240215924417,1
"25",120660,0.062706,-2,0.00307785538863903,1
"26",120610,0.062899,-2,0.000906214725194365,0
"27",121090,0.062956,-2,-0.0602960798017663,-1
"28",121110,0.05916,-2,0.00174104124408392,0
"29",121100,0.059263,-2,0.0117780065133388,1
"30",121120,0.059961,-2,0.000400260169109767,0
"31",120960,0.059985,-2,-0.00210052513128267,0
"32",120970,0.059859,-2,-0.00111929701465119,0
"33",120970,0.059792,-2,-0.000702435108375754,0
"34",120990,0.05975,-2,-0.00127196652719663,0
"35",121000,0.059674,-2,-0.00231256493615306,0
"36",121010,0.059536,-2,-0.00141091104541791,0
"37",121030,0.059452,-2,0.000420507300006756,0
"38",121030,0.059477,-2,-0.00262286261916378,0
"39",121040,0.059321,-2,-0.00161831391918543,0
"40",121070,0.059225,-2,-0.00131701139721407,0
"41",121070,0.059147,-2,0.000743909243072327,0
"42",121060,0.059191,-2,-0.000743356253484539,0
"43",121070,0.059147,-2,-0.000524117875800867,0
"44",121070,0.059116,-2,-0.000253738412612559,0
"45",121100,0.059101,-2,-0.00558366186697357,-1
"46",121110,0.058771,-2,-0.000442395058787515,0
"47",121120,0.058745,-2,-0.00146395437909597,0
"48",121130,0.058659,-2,-0.0012956238599362,0
"49",121130,0.058583,-2,-0.000990048307529579,0
"50",121140,0.058525,-2,-0.00206749252456218,0
"51",121150,0.058404,-2,-0.00111293747003627,0
"52",121170,0.058339,-2,-0.000462812183959271,0
"53",121170,0.058312,-2,-0.00198929894361377,0
"54",121180,0.058196,-2,-0.00156368135267027,0
"55",121190,0.058105,-2,-0.000963772480853553,0
"56",121200,0.058049,-2,-0.00068907302451382,0
"57",121200,0.058009,-2,-0.000586115947525334,0
"58",121210,0.057975,-2,-5.17464424319991e-05,0
"59",121220,0.057972,-2,0,0
"60",121220,0.057972,-2,-0.00274270337404259,-1
"61",121230,0.057813,-2,-0.00122809748672448,0
"62",121240,0.057742,-2,-0.000571507741332078,0
"63",121240,0.057709,-2,-3.46566393457648e-05,0
"64",121240,0.057707,-2,-0.000623841128459257,0
"65",121250,0.057671,-2,0.0720119297393838,1
"66",121250,0.061824,-2,0.000760222567287805,0
"67",120710,0.061871,-2,-0.000226277254287144,0
"68",120710,0.061857,-2,-0.000226328467271331,0
"69",120710,0.061843,-2,-0.000258719661077267,0
"70",120720,0.061827,-2,0.00173063548287966,0
"71",120720,0.061934,-2,0.001808376659024,0
"72",120690,0.062046,-2,0.000112819521000507,0
"73",121210,0.062053,-2,-0.00154706460606258,0
"74",120690,0.061957,-2,1.61402262859323e-05,0
